 neighbors of            1           2          29         733
 pairs of vtx            1           2           0           3
 pairs of vtx            2           0           3           2
 pairs of vtx            3           3           2           0
 neighbors of            2           1           3          94
 pairs of vtx            1           0           1           2
 pairs of vtx            2           1           3           0
 pairs of vtx            3           3           0           3
 neighbors of            3           2           4         731
 pairs of vtx            1           1           1           0
 pairs of vtx            2           0           3           2
 pairs of vtx            3           2           0           1
 neighbors of            4           3           5         749
 pairs of vtx            1           1           1           0
 pairs of vtx            2           0           3           2
 pairs of vtx            3           2           0           1
 neighbors of            5           4           6          93
 pairs of vtx            1           1           0           3
 pairs of vtx            2           0           2           2
 pairs of vtx            3           2           1           0
 neighbors of            6           5           7         751
 pairs of vtx            1           3           0           3
 pairs of vtx            2           2           2           0
 pairs of vtx            3           0           1           1
 neighbors of            7           6          66          92
 pairs of vtx            1           3           2           0
 pairs of vtx            2           2           0           3
 pairs of vtx            3           0           3           2
 neighbors of            8           9          66          91
 pairs of vtx            1           2           1           0
 pairs of vtx            2           0           3           3
 pairs of vtx            3           3           0           2
 neighbors of            9           8          10          90
 pairs of vtx            1           0           1           2
 pairs of vtx            2           1           3           0
 pairs of vtx            3           3           0           3
 neighbors of           10           9          11         754
 pairs of vtx            1           1           1           0
 pairs of vtx            2           0           3           3
 pairs of vtx            3           2           0           2
 neighbors of           11          10          12          89
 pairs of vtx            1           1           0           3
 pairs of vtx            2           0           2           2
 pairs of vtx            3           2           1           0
 neighbors of           12          11          13         755
 pairs of vtx            1           3           0           2
 pairs of vtx            2           2           2           0
 pairs of vtx            3           0           1           3
 neighbors of           13          12          14         775
 pairs of vtx            1           3           0           1
 pairs of vtx            2           2           2           0
 pairs of vtx            3           0           1           2
 neighbors of           14          13          65          88
 pairs of vtx            1           3           2           0
 pairs of vtx            2           2           0           3
 pairs of vtx            3           0           3           2
 neighbors of           15          16          65          87
 pairs of vtx            1           2           1           0
 pairs of vtx            2           0           3           3
 pairs of vtx            3           3           0           2
 neighbors of           16          15          17          86
 pairs of vtx            1           0           1           2
 pairs of vtx            2           1           3           0
 pairs of vtx            3           3           0           3
 neighbors of           17          16          18         780
 pairs of vtx            1           1           1           0
 pairs of vtx            2           0           3           2
 pairs of vtx            3           2           0           1
 neighbors of           18          17          19          85
 pairs of vtx            1           1           0           3
 pairs of vtx            2           0           2           2
 pairs of vtx            3           2           1           0
 neighbors of           19          18          20         781
 pairs of vtx            1           3           0           2
 pairs of vtx            2           2           2           0
 pairs of vtx            3           0           1           3
 neighbors of           20          19          64          84
 pairs of vtx            1           3           2           0
 pairs of vtx            2           2           0           3
 pairs of vtx            3           0           3           2
 neighbors of           21          63          64          83
 pairs of vtx            1           2           1           0
 pairs of vtx            2           0           3           3
 pairs of vtx            3           3           0           2
 neighbors of           22          62          63          82
 pairs of vtx            1           2           1           0
 pairs of vtx            2           0           3           3
 pairs of vtx            3           3           0           2
 neighbors of           23          61          62          81
 pairs of vtx            1           2           1           0
 pairs of vtx            2           0           3           3
 pairs of vtx            3           3           0           2
 neighbors of           24          26          61          80
 pairs of vtx            1           2           1           0
 pairs of vtx            2           0           3           3
 pairs of vtx            3           3           0           2
 neighbors of           25          26          60         787
 pairs of vtx            1           1           0           2
 pairs of vtx            2           3           1           0
 pairs of vtx            3           0           3           3
 neighbors of           26          24          25         786
 pairs of vtx            1           0           1           2
 pairs of vtx            2           1           0           1
 pairs of vtx            3           3           2           0
 neighbors of           27          28          31         735
 pairs of vtx            1           2           0           1
 pairs of vtx            2           0           2           3
 pairs of vtx            3           3           1           0
 neighbors of           28          27          29          96
 pairs of vtx            1           0           1           2
 pairs of vtx            2           1           3           0
 pairs of vtx            3           3           0           3
 neighbors of           29           1          28          95
 pairs of vtx            1           0           1           3
 pairs of vtx            2           3           0           2
 pairs of vtx            3           2           2           0
 neighbors of           30          31          33         802
 pairs of vtx            1           2           0           2
 pairs of vtx            2           0           2           1
 pairs of vtx            3           3           1           0
 neighbors of           31          27          30          97
 pairs of vtx            1           3           0           2
 pairs of vtx            2           2           1           0
 pairs of vtx            3           0           3           3
 neighbors of           32          33          34         801
 pairs of vtx            1           2           0           1
 pairs of vtx            2           0           1           3
 pairs of vtx            3           3           3           0
 neighbors of           33          30          32          98
 pairs of vtx            1           3           0           2
 pairs of vtx            2           2           1           0
 pairs of vtx            3           0           3           3
 neighbors of           34          32          35         800
 pairs of vtx            1           2           0           2
 pairs of vtx            2           0           2           1
 pairs of vtx            3           3           1           0
 neighbors of           35          34          36          99
 pairs of vtx            1           3           0           2
 pairs of vtx            2           2           2           0
 pairs of vtx            3           0           1           3
 neighbors of           36          35          37         100
 pairs of vtx            1           3           0           2
 pairs of vtx            2           2           2           0
 pairs of vtx            3           0           1           3
 neighbors of           37          36          38         799
 pairs of vtx            1           3           2           0
 pairs of vtx            2           2           0           1
 pairs of vtx            3           0           3           3
 neighbors of           38          37          39         798
 pairs of vtx            1           0           1           1
 pairs of vtx            2           1           3           0
 pairs of vtx            3           3           0           2
 neighbors of           39          38          40         101
 pairs of vtx            1           1           1           0
 pairs of vtx            2           0           3           3
 pairs of vtx            3           2           0           2
 neighbors of           40          39          41         743
 pairs of vtx            1           1           0           3
 pairs of vtx            2           0           2           2
 pairs of vtx            3           2           1           0
 neighbors of           41          40          42         102
 pairs of vtx            1           3           0           2
 pairs of vtx            2           2           2           0
 pairs of vtx            3           0           1           3
 neighbors of           42          41          43         103
 pairs of vtx            1           3           0           2
 pairs of vtx            2           2           2           0
 pairs of vtx            3           0           1           3
 neighbors of           43          42          72         797
 pairs of vtx            1           3           2           0
 pairs of vtx            2           2           0           1
 pairs of vtx            3           0           3           3
 neighbors of           44          71          72         748
 pairs of vtx            1           2           1           0
 pairs of vtx            2           0           3           2
 pairs of vtx            3           3           0           1
 neighbors of           45          46          71         747
 pairs of vtx            1           2           1           0
